Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
B3GNT1	ENST00000311181.4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1 	2688	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.03	N/A
PCDHA13	ENST00000289272.2	protocadherin alpha 13 	86	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
ARHGEF38	ENST00000420470.2	Rho guanine nucleotide exchange factor (GEF) 38 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ANGPT1	ENST00000520734.1	angiopoietin 1 	21	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.04	N/A
PAK1IP1	ENST00000379568.3	PAK1 interacting protein 1 	135	1	1	0	0	0	rno-miR-338-5p	-0.02	-0.41	N/A
TRIM33	ENST00000358465.2	tripartite motif containing 33 	201	3	0	1	2	0	rno-miR-338-5p	-0.02	-0.04	N/A
RNF19B	ENST00000356990.5	ring finger protein 19B 	45	1	1	0	0	0	rno-miR-338-5p	-0.02	-0.03	N/A
PTEN	ENST00000371953.3	phosphatase and tensin homolog 	118	2	0	0	2	1	rno-miR-338-5p	-0.02	-0.04	N/A
BDP1	ENST00000380675.2	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB 	12	1	0	0	1	1	rno-miR-338-5p	-0.02	-0.04	N/A
BRF2	ENST00000220659.6	BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit 	229	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.07	N/A
KANSL2	ENST00000550347.1	KAT8 regulatory NSL complex subunit 2 	68	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.07	N/A
RAPGEF4	ENST00000409036.1	Rap guanine nucleotide exchange factor (GEF) 4 	60	1	0	1	0	2	rno-miR-338-5p	-0.02	-0.04	N/A
RBM41	ENST00000372487.1	RNA binding motif protein 41 	41	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.03	N/A
IKZF5	ENST00000368886.5	IKAROS family zinc finger 5 (Pegasus) 	83	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.05	N/A
SLC16A7	ENST00000261187.4	solute carrier family 16 (monocarboxylate transporter), member 7 	73	3	1	2	0	6	rno-miR-338-5p	-0.02	-0.07	N/A
SLC7A10	ENST00000253188.4	solute carrier family 7 (neutral amino acid transporter light chain, asc system), member 10 	99	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.03	N/A
MARK1	ENST00000366918.4	MAP/microtubule affinity-regulating kinase 1 	192	2	0	2	0	0	rno-miR-338-5p	-0.02	-0.09	N/A
ING5	ENST00000313552.6	inhibitor of growth family, member 5 	529	2	0	1	1	0	rno-miR-338-5p	-0.02	-0.03	N/A
NCOA3	ENST00000341724.6	nuclear receptor coactivator 3 	282	1	1	0	0	0	rno-miR-338-5p	-0.02	-0.03	N/A
PDP2	ENST00000311765.2	pyruvate dehyrogenase phosphatase catalytic subunit 2 	102	1	0	0	1	1	rno-miR-338-5p	-0.02	-0.05	N/A
SIX1	ENST00000247182.6	SIX homeobox 1 	1264	2	0	1	1	1	rno-miR-338-5p	-0.02	-0.04	N/A
PPP1R2	ENST00000328432.3	protein phosphatase 1, regulatory (inhibitor) subunit 2 	8	1	0	0	1	2	rno-miR-338-5p	-0.02	-0.02	N/A
CACNB2	ENST00000396576.2	calcium channel, voltage-dependent, beta 2 subunit 	52	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
HS6ST2	ENST00000370836.2	heparan sulfate 6-O-sulfotransferase 2 	4566	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.02	N/A
MEI4	ENST00000602452.2	meiosis-specific 4 homolog (S. cerevisiae) 	5	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.02	N/A
PCDHA12	ENST00000398631.2	protocadherin alpha 12 	86	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
ACSL4	ENST00000469796.2	acyl-CoA synthetase long-chain family member 4 	229	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
TMEM56	ENST00000370203.4	transmembrane protein 56 	113	2	0	1	1	1	rno-miR-338-5p	-0.02	-0.04	N/A
MBNL2	ENST00000345429.6	muscleblind-like splicing regulator 2 	34	2	0	1	1	1	rno-miR-338-5p	-0.02	-0.03	N/A
SOGA3	ENST00000556132.1	SOGA family member 3 	95	2	2	0	0	0	rno-miR-338-5p	-0.02	-0.06	N/A
NFYB	ENST00000240055.3	nuclear transcription factor Y, beta 	375	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.10	N/A
MTMR9	ENST00000221086.3	myotubularin related protein 9 	400	2	0	1	1	2	rno-miR-338-5p	-0.02	-0.03	N/A
NPHP1	ENST00000316534.4	nephronophthisis 1 (juvenile) 	26	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.12	N/A
NR3C1	ENST00000394464.2	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) 	682	2	0	0	2	0	rno-miR-338-5p	-0.02	-0.03	N/A
DTWD1	ENST00000251250.6	DTW domain containing 1 	936	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.14	N/A
MAP3K8	ENST00000375321.1	mitogen-activated protein kinase kinase kinase 8 	22	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.02	N/A
PCDHAC2	ENST00000289269.5	protocadherin alpha subfamily C, 2 	86	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
AKAP9	ENST00000356239.3	A kinase (PRKA) anchor protein 9 	514	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
ZBTB10	ENST00000430430.1	zinc finger and BTB domain containing 10 	113	2	0	1	1	2	rno-miR-338-5p	-0.02	-0.03	N/A
CAMK4	ENST00000282356.4	calcium/calmodulin-dependent protein kinase IV 	73	2	0	1	1	1	rno-miR-338-5p	-0.02	-0.03	N/A
SLC44A1	ENST00000374720.3	solute carrier family 44 (choline transporter), member 1 	407	2	0	0	2	5	rno-miR-338-5p	-0.02	-0.02	N/A
CYP26B1	ENST00000001146.2	cytochrome P450, family 26, subfamily B, polypeptide 1 	1315	2	0	0	2	0	rno-miR-338-5p	-0.02	-0.02	N/A
HSPA13	ENST00000285667.3	heat shock protein 70kDa family, member 13 	2175	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.02	N/A
FAM214A	ENST00000261844.7	family with sequence similarity 214, member A 	62	1	1	0	0	0	rno-miR-338-5p	-0.02	-0.29	N/A
RASA1	ENST00000456692.2	RAS p21 protein activator (GTPase activating protein) 1 	1700	2	0	2	0	3	rno-miR-338-5p	-0.02	-0.13	N/A
SERPINB5	ENST00000382771.4	serpin peptidase inhibitor, clade B (ovalbumin), member 5 	295	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.05	N/A
TLL1	ENST00000061240.2	tolloid-like 1 	247	2	0	1	1	1	rno-miR-338-5p	-0.02	-0.03	N/A
CACNA2D2	ENST00000423994.2	calcium channel, voltage-dependent, alpha 2/delta subunit 2 	19	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.03	N/A
MEF2D	ENST00000464356.2	myocyte enhancer factor 2D 	759	1	1	0	0	1	rno-miR-338-5p	-0.02	-0.05	N/A
NIPAL3	ENST00000003912.3	NIPA-like domain containing 3 	775	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.03	N/A
PRPF4B	ENST00000337659.6	pre-mRNA processing factor 4B 	602	1	1	0	0	1	rno-miR-338-5p	-0.02	-0.03	N/A
FGF1	ENST00000360966.5	fibroblast growth factor 1 (acidic) 	88	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.06	N/A
SAMD8	ENST00000372687.4	sterile alpha motif domain containing 8 	100	3	0	1	2	1	rno-miR-338-5p	-0.02	-0.04	N/A
AGA	ENST00000264595.2	aspartylglucosaminidase 	601	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.19	N/A
SPTSSA	ENST00000298130.4	serine palmitoyltransferase, small subunit A 	27	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.12	N/A
HDGFRP3	ENST00000299633.4	Hepatoma-derived growth factor-related protein 3  	2577	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.13	N/A
CNTN3	ENST00000263665.6	contactin 3 (plasmacytoma associated) 	27	1	1	0	0	3	rno-miR-338-5p	-0.02	-0.12	N/A
MAN1A1	ENST00000368468.3	mannosidase, alpha, class 1A, member 1 	248	2	0	1	1	2	rno-miR-338-5p	-0.02	-0.03	N/A
KDM2A	ENST00000529006.2	lysine (K)-specific demethylase 2A 	729	1	1	0	0	0	rno-miR-338-5p	-0.02	-0.03	N/A
TEK	ENST00000380036.4	TEK tyrosine kinase, endothelial 	1007	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.03	N/A
EEA1	ENST00000322349.8	early endosome antigen 1 	78	2	0	1	1	2	rno-miR-338-5p	-0.02	-0.03	N/A
PAX5	ENST00000358127.4	paired box 5 	5	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.02	N/A
OTOGL	ENST00000458043.2	otogelin-like 	5	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.02	N/A
ZYG11B	ENST00000294353.6	zyg-11 family member B, cell cycle regulator 	975	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
OCRL	ENST00000371113.4	oculocerebrorenal syndrome of Lowe 	818	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.02	N/A
TMEM183A	ENST00000367242.3	transmembrane protein 183A 	241	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.03	N/A
POU3F2	ENST00000328345.5	POU class 3 homeobox 2 	274	2	0	2	0	2	rno-miR-338-5p	-0.02	-0.04	N/A
LSAMP	ENST00000490035.2	limbic system-associated membrane protein 	19	4	2	0	2	1	rno-miR-338-5p	-0.02	-0.08	N/A
ZNF706	ENST00000311212.4	zinc finger protein 706 	325	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.10	N/A
WAC	ENST00000375664.4	WW domain containing adaptor with coiled-coil 	322	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.08	N/A
LPGAT1	ENST00000366997.4	lysophosphatidylglycerol acyltransferase 1 	135	3	0	0	3	0	rno-miR-338-5p	-0.02	-0.03	N/A
ZFAND5	ENST00000237937.3	zinc finger, AN1-type domain 5 	2522	2	2	0	0	1	rno-miR-338-5p	-0.02	-0.25	N/A
ZDHHC17	ENST00000426126.2	zinc finger, DHHC-type containing 17 	117	2	0	1	1	0	rno-miR-338-5p	-0.02	-0.03	N/A
LUZP1	ENST00000418342.1	leucine zipper protein 1 	434	1	1	0	0	0	rno-miR-338-5p	-0.02	-0.03	N/A
KLHL11	ENST00000319121.3	kelch-like family member 11 	16	1	1	0	0	0	rno-miR-338-5p	-0.02	-0.03	N/A
BNIP3	ENST00000368636.4	BCL2/adenovirus E1B 19kDa interacting protein 3 	203	3	0	0	3	0	rno-miR-338-5p	-0.02	-0.14	N/A
BAMBI	ENST00000375533.3	BMP and activin membrane-bound inhibitor 	515	2	1	0	1	0	rno-miR-338-5p	-0.02	-0.17	N/A
EML5	ENST00000554922.1	echinoderm microtubule associated protein like 5 	60	2	0	1	1	3	rno-miR-338-5p	-0.02	-0.03	N/A
NRAS	ENST00000369535.4	neuroblastoma RAS viral (v-ras) oncogene homolog 	551	1	0	0	1	1	rno-miR-338-5p	-0.02	-0.06	N/A
CD84	ENST00000534968.1	CD84 molecule 	5	2	0	2	0	1	rno-miR-338-5p	-0.02	-0.08	N/A
FAM135A	ENST00000418814.2	family with sequence similarity 135, member A 	611	2	0	1	1	0	rno-miR-338-5p	-0.02	-0.03	N/A
RAB11B	ENST00000328024.6	RAB11B, member RAS oncogene family 	920	2	0	1	1	0	rno-miR-338-5p	-0.02	-0.03	N/A
PRRG3	ENST00000370353.3	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane) 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ATP2B4	ENST00000367218.3	ATPase, Ca++ transporting, plasma membrane 4 	7311	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ESRP1	ENST00000358397.5	epithelial splicing regulatory protein 1 	74	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
KBTBD6	ENST00000379485.1	kelch repeat and BTB (POZ) domain containing 6 	51	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
RORB	ENST00000376896.3	RAR-related orphan receptor B 	5	2	0	0	2	0	rno-miR-338-5p	-0.02	-0.02	N/A
ARL13B	ENST00000535334.1	ADP-ribosylation factor-like 13B 	23	2	0	0	2	0	rno-miR-338-5p	-0.02	-0.02	N/A
WISP1	ENST00000250160.6	WNT1 inducible signaling pathway protein 1 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
SPAST	ENST00000315285.3	spastin 	239	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
EDEM3	ENST00000318130.8	ER degradation enhancer, mannosidase alpha-like 3 	535	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
MARCH1	ENST00000274056.7	membrane-associated ring finger (C3HC4) 1, E3 ubiquitin protein ligase 	5	1	0	1	0	2	rno-miR-338-5p	-0.02	-0.02	N/A
CPED1	ENST00000310396.5	cadherin-like and PC-esterase domain containing 1 	77	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
PKNOX2	ENST00000298282.9	PBX/knotted 1 homeobox 2 	46	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
DUSP22	ENST00000419235.2	dual specificity phosphatase 22 	1330	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
SLC24A2	ENST00000341998.2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 	5	2	0	0	2	0	rno-miR-338-5p	-0.02	-0.02	N/A
ZNF12	ENST00000404360.1	zinc finger protein 12 	304	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
CCDC120	ENST00000376396.3	coiled-coil domain containing 120 	170	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
FAM102A	ENST00000373095.1	family with sequence similarity 102, member A 	85	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
ARRDC4	ENST00000268042.6	arrestin domain containing 4 	10	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
TRAPPC10	ENST00000291574.4	trafficking protein particle complex 10 	302	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
TMEFF1	ENST00000374879.4	transmembrane protein with EGF-like and two follistatin-like domains 1 	234	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
CBL	ENST00000264033.4	Cbl proto-oncogene, E3 ubiquitin protein ligase 	309	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
TNFAIP2	ENST00000560869.1	tumor necrosis factor, alpha-induced protein 2 	442	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
SCN4B	ENST00000324727.4	sodium channel, voltage-gated, type IV, beta subunit 	13	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
MLLT10	ENST00000377072.3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 	495	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
UBXN2B	ENST00000399598.2	UBX domain protein 2B 	157	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
AMER1	ENST00000330258.3	APC membrane recruitment protein 1 	11	1	0	1	0	2	rno-miR-338-5p	-0.02	-0.02	N/A
ZCCHC3	ENST00000382352.3	zinc finger, CCHC domain containing 3 	1328	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
SNX30	ENST00000374232.3	sorting nexin family member 30 	33	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ABCA12	ENST00000272895.7	ATP-binding cassette, sub-family A (ABC1), member 12 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
SHANK2	ENST00000449833.2	SH3 and multiple ankyrin repeat domains 2 	26	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
C9orf62	ENST00000320778.2	chromosome 9 open reading frame 62 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
LPPR4	ENST00000370185.3	Lipid phosphate phosphatase-related protein type 4  	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
KIF16B	ENST00000354981.2	kinesin family member 16B 	113	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
CELF2	ENST00000315874.4	CUGBP, Elav-like family member 2 	56	1	0	1	0	6	rno-miR-338-5p	-0.02	-0.02	N/A
SLC6A1	ENST00000287766.4	solute carrier family 6 (neurotransmitter transporter), member 1 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
RLIM	ENST00000332687.6	ring finger protein, LIM domain interacting 	662	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
DSC1	ENST00000257197.3	desmocollin 1 	7	1	0	1	0	2	rno-miR-338-5p	-0.02	-0.02	N/A
RAP2C	ENST00000342983.2	RAP2C, member of RAS oncogene family 	604	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
ANKRD34C	ENST00000421388.2	ankyrin repeat domain 34C 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
PREX1	ENST00000396220.1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1 	14	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
MSANTD3-TMEFF1	ENST00000502978.1	MSANTD3-TMEFF1 readthrough 	234	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ATRN	ENST00000262919.5	attractin 	39	2	0	0	2	0	rno-miR-338-5p	-0.02	-0.02	N/A
KLHL14	ENST00000359358.4	kelch-like family member 14 	66	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
COL24A1	ENST00000370571.2	collagen, type XXIV, alpha 1 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
RBFOX1	ENST00000355637.4	RNA binding protein, fox-1 homolog (C. elegans) 1 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
FOXN2	ENST00000340553.3	forkhead box N2 	441	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
PLEKHA6	ENST00000272203.3	pleckstrin homology domain containing, family A member 6 	45	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
CDH19	ENST00000262150.2	cadherin 19, type 2 	5	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
TMTC2	ENST00000321196.3	transmembrane and tetratricopeptide repeat containing 2 	173	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
MTF2	ENST00000370298.4	metal response element binding transcription factor 2 	653	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ARHGAP6	ENST00000380736.1	Rho GTPase activating protein 6 	12	2	0	0	2	1	rno-miR-338-5p	-0.02	-0.02	N/A
PLCE1	ENST00000371380.3	phospholipase C, epsilon 1 	7	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ITPR1	ENST00000302640.8	inositol 1,4,5-trisphosphate receptor, type 1 	1022	2	0	0	2	1	rno-miR-338-5p	-0.02	-0.02	N/A
KSR2	ENST00000425217.1	kinase suppressor of ras 2 	22	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
POM121C	ENST00000257665.5	POM121 transmembrane nucleoporin C 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
SEPN1	ENST00000361547.2	selenoprotein N, 1 	104	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
FRYL	ENST00000503238.1	FRY-like 	276	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
SCN8A	ENST00000354534.6	sodium channel, voltage gated, type VIII, alpha subunit 	44	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
MCHR1	ENST00000249016.4	melanin-concentrating hormone receptor 1 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
NCKAP1L	ENST00000293373.6	NCK-associated protein 1-like 	5	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
ST18	ENST00000276480.7	suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein) 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
GLYR1	ENST00000436648.5	glyoxylate reductase 1 homolog (Arabidopsis) 	31	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
GRM5	ENST00000418177.2	glutamate receptor, metabotropic 5 	5	1	0	1	0	2	rno-miR-338-5p	-0.02	-0.02	N/A
KIAA2018	ENST00000316407.4	KIAA2018 	23	1	0	1	0	2	rno-miR-338-5p	-0.02	-0.02	N/A
MRVI1	ENST00000421747.1	murine retrovirus integration site 1 homolog 	26	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
INSR	ENST00000341500.5	insulin receptor 	577	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
CLNK	ENST00000226951.6	cytokine-dependent hematopoietic cell linker 	5	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.02	N/A
SYT9	ENST00000318881.6	synaptotagmin IX 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
DSG4	ENST00000359747.4	desmoglein 4 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
JAKMIP2	ENST00000507386.1	janus kinase and microtubule interacting protein 2 	26	2	0	1	1	0	rno-miR-338-5p	-0.02	-0.03	N/A
SLC4A10	ENST00000415876.2	solute carrier family 4, sodium bicarbonate transporter, member 10 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
NKX2-2	ENST00000377142.4	NK2 homeobox 2 	10	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
SMEK2	ENST00000272313.5	SMEK homolog 2, suppressor of mek1 (Dictyostelium) 	342	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
FAM172A	ENST00000395965.3	family with sequence similarity 172, member A 	257	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
MYO3B	ENST00000334231.6	myosin IIIB 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
RXFP1	ENST00000307765.5	relaxin/insulin-like family peptide receptor 1 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
APBB2	ENST00000295974.8	amyloid beta (A4) precursor protein-binding, family B, member 2 	704	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
FAM155B	ENST00000252338.4	family with sequence similarity 155, member B 	21	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
KCNA7	ENST00000221444.1	potassium voltage-gated channel, shaker-related subfamily, member 7 	11	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ASXL3	ENST00000269197.5	additional sex combs like 3 (Drosophila) 	65	1	0	1	0	2	rno-miR-338-5p	-0.02	-0.02	N/A
RAD54L2	ENST00000409535.2	RAD54-like 2 (S. cerevisiae) 	215	1	0	1	0	2	rno-miR-338-5p	-0.02	-0.02	N/A
NPAS4	ENST00000311034.2	neuronal PAS domain protein 4 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ESR1	ENST00000440973.1	estrogen receptor 1 	5	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
HKDC1	ENST00000354624.5	hexokinase domain containing 1 	16	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ATP1B4	ENST00000218008.3	ATPase, Na+/K+ transporting, beta 4 polypeptide 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
TMEM95	ENST00000330767.4	transmembrane protein 95 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
NRCAM	ENST00000379028.3	neuronal cell adhesion molecule 	152	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
MBTPS2	ENST00000379484.5	membrane-bound transcription factor peptidase, site 2 	1711	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
NHS	ENST00000380060.3	Nance-Horan syndrome (congenital cataracts and dental anomalies) 	72	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
HIVEP2	ENST00000367604.1	human immunodeficiency virus type I enhancer binding protein 2 	137	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
CABP7	ENST00000216144.3	calcium binding protein 7 	12	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
FAM196A	ENST00000522781.1	family with sequence similarity 196, member A 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
GDA	ENST00000358399.3	guanine deaminase 	5	1	0	1	0	3	rno-miR-338-5p	-0.02	-0.02	N/A
ARHGAP21	ENST00000396432.2	Rho GTPase activating protein 21 	10	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
SH3GL2	ENST00000380607.4	SH3-domain GRB2-like 2 	125	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ZIC2	ENST00000376335.3	Zic family member 2 	1173	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
DPYSL2	ENST00000311151.5	dihydropyrimidinase-like 2 	3087	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
TRPS1	ENST00000395715.3	trichorhinophalangeal syndrome I 	94	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
NMNAT2	ENST00000294868.4	nicotinamide nucleotide adenylyltransferase 2 	18	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
AC005609.1	ENST00000502505.1	Uncharacterized protein; cDNA FLJ34090 fis, clone FCBBF3006399  	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
CDH20	ENST00000262717.4	cadherin 20, type 2 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
KDR	ENST00000263923.4	kinase insert domain receptor (a type III receptor tyrosine kinase) 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
VIP	ENST00000367244.3	vasoactive intestinal peptide 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
CXorf36	ENST00000398000.2	chromosome X open reading frame 36 	5	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
ZNF280C	ENST00000370978.4	zinc finger protein 280C 	138	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
FAM179B	ENST00000382233.2	family with sequence similarity 179, member B 	12	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
PRDM13	ENST00000369215.4	PR domain containing 13 	17	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
AKAP11	ENST00000025301.2	A kinase (PRKA) anchor protein 11 	71	1	0	1	0	1	rno-miR-338-5p	-0.02	-0.02	N/A
CHCHD5	ENST00000409719.1	coiled-coil-helix-coiled-coil-helix domain containing 5 	1577	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
TRIT1	ENST00000441669.2	tRNA isopentenyltransferase 1 	8	1	0	0	1	0	rno-miR-338-5p	-0.02	-0.02	N/A
EPB41	ENST00000373798.1	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) 	53	1	0	1	0	0	rno-miR-338-5p	-0.02	-0.02	N/A
