Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Zfp672	ENSMUST00000064786.6	zinc finger protein 672 	49	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Daam2	ENSMUST00000057610.6	dishevelled associated activator of morphogenesis 2 	28	1	1	0	0	1	mmu-miR-338-5p	-0.02	-0.11	N/A
Arl10	ENSMUST00000026988.5	ADP-ribosylation factor-like 10 	193	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Pcdh12	ENSMUST00000025311.5	protocadherin 12 	104	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Pitpnm3	ENSMUST00000075258.7	PITPNM family member 3 	10	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Arxes1	ENSMUST00000057625.2	adipocyte-related X-chromosome expressed sequence 1 	223	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.09	N/A
Zfp595	ENSMUST00000109735.3	zinc finger protein 595 	77	2	0	1	1	3	mmu-miR-338-5p	-0.02	-0.04	N/A
Phtf2	ENSMUST00000118174.2	putative homeodomain transcription factor 2 	1787	1	0	1	0	2	mmu-miR-338-5p	-0.02	-0.02	N/A
Kpna4	ENSMUST00000029353.3	karyopherin (importin) alpha 4 	1495	2	0	1	1	2	mmu-miR-338-5p	-0.02	-0.04	N/A
Pou3f3	ENSMUST00000054883.3	POU domain, class 3, transcription factor 3 	71	4	0	3	1	2	mmu-miR-338-5p	-0.02	-0.07	N/A
Zfp597	ENSMUST00000090522.4	zinc finger protein 597 	513	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Mthfsl	ENSMUST00000113110.4	5, 10-methenyltetrahydrofolate synthetase-like 	58	2	0	1	1	4	mmu-miR-338-5p	-0.02	-0.03	N/A
Apaf1	ENSMUST00000159110.2	apoptotic peptidase activating factor 1 	71	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Fam46c	ENSMUST00000061455.8	family with sequence similarity 46, member C 	70	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Btnl9	ENSMUST00000046522.7	butyrophilin-like 9 	215	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Fbxo33	ENSMUST00000043204.7	F-box protein 33 	40	2	0	0	2	1	mmu-miR-338-5p	-0.02	-0.10	N/A
Eml5	ENSMUST00000065716.6	echinoderm microtubule associated protein like 5 	205	2	0	1	1	3	mmu-miR-338-5p	-0.02	-0.03	N/A
Gltscr1l	ENSMUST00000040624.5	GLTSCR1-like 	257	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Ildr2	ENSMUST00000111416.1	immunoglobulin-like domain containing receptor 2 	474	1	0	1	0	3	mmu-miR-338-5p	-0.02	-0.02	N/A
Mrpl1	ENSMUST00000117766.2	mitochondrial ribosomal protein L1 	3013	1	1	0	0	1	mmu-miR-338-5p	-0.02	-0.87	N/A
Cacul1	ENSMUST00000081790.8	CDK2 associated, cullin domain 1 	1446	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.04	N/A
Lats1	ENSMUST00000165952.2	large tumor suppressor 	1908	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Prop1	ENSMUST00000051159.2	paired like homeodomain factor 1 	7	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.07	N/A
Ppargc1b	ENSMUST00000075299.7	peroxisome proliferative activated receptor, gamma, coactivator 1 beta 	268	1	0	1	0	3	mmu-miR-338-5p	-0.02	-0.02	N/A
Zkscan8	ENSMUST00000045228.6	zinc finger with KRAB and SCAN domains 8 	35	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Macc1	ENSMUST00000048880.6	metastasis associated in colon cancer 1 	74	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.02	N/A
St8sia4	ENSMUST00000043336.5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 	19	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Nckap1l	ENSMUST00000047405.7	NCK associated protein 1 like 	239	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Angpt1	ENSMUST00000022921.5	angiopoietin 1 	252	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
P2ry4	ENSMUST00000053373.1	pyrimidinergic receptor P2Y, G-protein coupled, 4 	68	2	0	2	0	2	mmu-miR-338-5p	-0.02	-0.04	N/A
Armc2	ENSMUST00000160262.3	armadillo repeat containing 2 	26	1	1	0	0	0	mmu-miR-338-5p	-0.02	-0.03	N/A
Rap2b	ENSMUST00000049064.2	RAP2B, member of RAS oncogene family 	777	1	0	1	0	2	mmu-miR-338-5p	-0.02	-0.04	N/A
Zfp935	ENSMUST00000076195.5	zinc finger protein 935 	20	2	0	2	0	0	mmu-miR-338-5p	-0.02	-0.04	N/A
Ska3	ENSMUST00000022536.2	spindle and kinetochore associated complex subunit 3 	161	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Btbd7	ENSMUST00000045652.6	BTB (POZ) domain containing 7 	1023	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Map10	ENSMUST00000053078.4	microtubule-associated protein 10 	70	1	1	0	0	0	mmu-miR-338-5p	-0.02	-0.11	N/A
Cnrip1	ENSMUST00000058159.5	cannabinoid receptor interacting protein 1 	115	2	0	1	1	2	mmu-miR-338-5p	-0.02	-0.04	N/A
Sms	ENSMUST00000112529.2	spermine synthase 	2364	1	0	1	0	2	mmu-miR-338-5p	-0.02	-0.02	N/A
Ufm1	ENSMUST00000146598.2	ubiquitin-fold modifier 1 	2373	1	0	0	1	2	mmu-miR-338-5p	-0.02	-0.03	N/A
Taf1d	ENSMUST00000164079.2	TATA box binding protein (Tbp)-associated factor, RNA polymerase I, D 	296	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Calm1	ENSMUST00000110082.4	calmodulin 1 	29214	2	1	0	1	1	mmu-miR-338-5p	-0.02	-0.09	N/A
Sash1	ENSMUST00000015449.5	SAM and SH3 domain containing 1 	92	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Ptprb	ENSMUST00000092167.5	protein tyrosine phosphatase, receptor type, B 	2280	2	0	0	2	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Epha4	ENSMUST00000027451.7	Eph receptor A4 	97	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Nhlrc3	ENSMUST00000056749.8	NHL repeat containing 3 	220	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Ghr	ENSMUST00000069451.5	growth hormone receptor 	753	3	1	2	0	1	mmu-miR-338-5p	-0.02	-0.07	N/A
Gm3629	ENSMUST00000171706.1	predicted gene 3629 	15	1	0	1	0	2	mmu-miR-338-5p	-0.02	-0.03	N/A
Fam135a	ENSMUST00000187752.1	family with sequence similarity 135, member A 	561	2	0	1	1	0	mmu-miR-338-5p	-0.02	-0.03	N/A
Mfap3	ENSMUST00000108849.2	microfibrillar-associated protein 3 	118	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Erlin1	ENSMUST00000112028.4	ER lipid raft associated 1 	317	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Shank2	ENSMUST00000105902.2	SH3/ankyrin domain gene 2 	97	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Sema3c	ENSMUST00000030568.8	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C 	1516	2	0	0	2	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Otop1	ENSMUST00000063136.8	otopetrin 1 	13	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Ino80d	ENSMUST00000097718.3	INO80 complex subunit D 	52	2	0	1	1	2	mmu-miR-338-5p	-0.02	-0.03	N/A
Zdhhc17	ENSMUST00000041723.8	zinc finger, DHHC domain containing 17 	397	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Spop	ENSMUST00000107724.3	speckle-type POZ protein 	2209	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Gdnf	ENSMUST00000022744.3	glial cell line derived neurotrophic factor 	12	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Car8	ENSMUST00000066674.7	carbonic anhydrase 8 	1355	2	0	1	1	3	mmu-miR-338-5p	-0.02	-0.06	N/A
Slco2b1	ENSMUST00000032985.5	solute carrier organic anion transporter family, member 2b1 	2710	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Stam2	ENSMUST00000102759.2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 	828	1	0	1	0	2	mmu-miR-338-5p	-0.02	-0.02	N/A
Dcaf7	ENSMUST00000058438.8	DDB1 and CUL4 associated factor 7 	2608	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Gabrg3	ENSMUST00000068911.7	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3 	9	2	0	1	1	3	mmu-miR-338-5p	-0.02	-0.03	N/A
Cd99l2	ENSMUST00000037391.6	CD99 antigen-like 2 	2018	2	0	0	2	0	mmu-miR-338-5p	-0.02	-0.04	N/A
Zfp365	ENSMUST00000064656.7	zinc finger protein 365 	48	1	0	0	1	2	mmu-miR-338-5p	-0.02	-0.02	N/A
Rsl1d1	ENSMUST00000119953.1	ribosomal L1 domain containing 1 	6501	1	0	0	1	3	mmu-miR-338-5p	-0.02	-0.02	N/A
Usp51	ENSMUST00000095755.3	ubiquitin specific protease 51 	47	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Akap2	ENSMUST00000102903.2	A kinase (PRKA) anchor protein 2 	3643	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Ppp1r3b	ENSMUST00000070481.6	protein phosphatase 1, regulatory (inhibitor) subunit 3B 	106	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Mfap3l	ENSMUST00000160719.2	microfibrillar-associated protein 3-like 	749	1	0	1	0	3	mmu-miR-338-5p	-0.02	-0.02	N/A
Ahr	ENSMUST00000116436.3	aryl-hydrocarbon receptor 	376	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Prrc2c	ENSMUST00000182149.2	proline-rich coiled-coil 2C 	78	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Zfyve20	ENSMUST00000014694.8	zinc finger, FYVE domain containing 20 	111	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Pqlc2	ENSMUST00000053862.6	PQ loop repeat containing 2 	445	2	0	1	1	0	mmu-miR-338-5p	-0.02	-0.03	N/A
Dapp1	ENSMUST00000029806.7	dual adaptor for phosphotyrosine and 3-phosphoinositides 1 	144	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Wnt5a	ENSMUST00000063465.5	wingless-related MMTV integration site 5A 	231	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.05	N/A
Foxo1	ENSMUST00000053764.5	forkhead box O1 	835	1	0	0	1	3	mmu-miR-338-5p	-0.02	-0.02	N/A
Strip2	ENSMUST00000046028.7	striatin interacting protein 2 	81	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Fign	ENSMUST00000131615.3	fidgetin 	56	3	1	0	2	0	mmu-miR-338-5p	-0.02	-0.05	N/A
Cdk12	ENSMUST00000107539.2	cyclin-dependent kinase 12 	1429	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Ctbp2	ENSMUST00000169570.2	C-terminal binding protein 2 	721	1	0	0	1	2	mmu-miR-338-5p	-0.02	-0.02	N/A
Clec14a	ENSMUST00000062254.2	C-type lectin domain family 14, member a 	1117	5	0	5	0	4	mmu-miR-338-5p	-0.02	-0.12	N/A
Pcdh7	ENSMUST00000094783.4	protocadherin 7 	199	1	0	1	0	3	mmu-miR-338-5p	-0.02	-0.02	N/A
Psd3	ENSMUST00000038959.10	pleckstrin and Sec7 domain containing 3 	399	1	0	1	0	3	mmu-miR-338-5p	-0.02	-0.02	N/A
Atr	ENSMUST00000034980.7	ataxia telangiectasia and Rad3 related 	60	2	0	1	1	0	mmu-miR-338-5p	-0.02	-0.07	N/A
Pnisr	ENSMUST00000098238.3	PNN interacting serine/arginine-rich 	3635	4	1	3	0	1	mmu-miR-338-5p	-0.02	-0.10	N/A
Fam124b	ENSMUST00000058748.1	family with sequence similarity 124, member B 	17	2	1	1	0	0	mmu-miR-338-5p	-0.02	-0.05	N/A
Mrpl35	ENSMUST00000065103.2	mitochondrial ribosomal protein L35 	3806	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.11	N/A
Abca8a	ENSMUST00000100287.3	ATP-binding cassette, sub-family A (ABC1), member 8a 	299	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Tmed8	ENSMUST00000037418.5	transmembrane emp24 domain containing 8 	75	2	0	1	1	3	mmu-miR-338-5p	-0.02	-0.03	N/A
Tmem19	ENSMUST00000092170.5	transmembrane protein 19 	611	2	0	1	1	1	mmu-miR-338-5p	-0.02	-0.05	N/A
Lemd3	ENSMUST00000119944.2	LEM domain containing 3 	141	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.03	N/A
Pea15a	ENSMUST00000013842.6	phosphoprotein enriched in astrocytes 15A 	1608	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.02	N/A
B3galt1	ENSMUST00000112346.2	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1 	244	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Slc7a2	ENSMUST00000057784.9	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 	3113	1	0	1	0	5	mmu-miR-338-5p	-0.02	-0.02	N/A
Gm2381	ENSMUST00000174558.1	predicted gene 2381 	14	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Ces2g	ENSMUST00000043183.7	carboxylesterase 2G 	174	2	0	2	0	0	mmu-miR-338-5p	-0.02	-0.04	N/A
Tnfaip8l3	ENSMUST00000098760.3	tumor necrosis factor, alpha-induced protein 8-like 3 	14	2	0	0	2	3	mmu-miR-338-5p	-0.02	-0.04	N/A
Nek4	ENSMUST00000050171.8	NIMA (never in mitosis gene a)-related expressed kinase 4 	303	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Fcgr2b	ENSMUST00000027966.8	Fc receptor, IgG, low affinity IIb 	499	2	0	2	0	0	mmu-miR-338-5p	-0.02	-0.07	N/A
Gmeb1	ENSMUST00000168553.2	glucocorticoid modulatory element binding protein 1 	202	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Npc1l1	ENSMUST00000004505.2	NPC1-like 1 	8	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Sumf1	ENSMUST00000032191.10	sulfatase modifying factor 1 	308	1	0	0	1	2	mmu-miR-338-5p	-0.02	-0.02	N/A
Smc2	ENSMUST00000102915.4	structural maintenance of chromosomes 2 	2597	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Rlim	ENSMUST00000121153.2	ring finger protein, LIM domain interacting 	1532	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Vmn1r180	ENSMUST00000173816.3	vomeronasal 1 receptor 180 	14	1	0	1	0	2	mmu-miR-338-5p	-0.02	-0.03	N/A
Vav3	ENSMUST00000046864.8	vav 3 oncogene 	265	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Fam49a	ENSMUST00000069066.7	family with sequence similarity 49, member A 	260	2	1	1	0	1	mmu-miR-338-5p	-0.02	-0.05	N/A
Mynn	ENSMUST00000047502.7	myoneurin 	430	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Zdhhc23	ENSMUST00000036321.8	zinc finger, DHHC domain containing 23 	41	1	1	0	0	2	mmu-miR-338-5p	-0.02	-0.03	N/A
Cox20	ENSMUST00000027781.6	COX20 Cox2 chaperone 	1030	1	1	0	0	2	mmu-miR-338-5p	-0.02	-0.23	N/A
Selp	ENSMUST00000162746.1	selectin, platelet 	21	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Scn3b	ENSMUST00000171835.3	sodium channel, voltage-gated, type III, beta 	478	1	0	0	1	2	mmu-miR-338-5p	-0.02	-0.03	N/A
Ptgfr	ENSMUST00000029670.5	prostaglandin F receptor 	172	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Cep350	ENSMUST00000138762.2	centrosomal protein 350 	574	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Tnks	ENSMUST00000033929.4	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 	1143	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Gm53	ENSMUST00000129907.2	predicted gene 53 	48	1	0	1	0	2	mmu-miR-338-5p	-0.02	-0.02	N/A
Bach1	ENSMUST00000026703.5	BTB and CNC homology 1 	993	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Cyb5b	ENSMUST00000034400.3	cytochrome b5 type B 	10729	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Wtap	ENSMUST00000159986.2	Wilms tumour 1-associating protein 	103	2	0	2	0	4	mmu-miR-338-5p	-0.02	-0.07	N/A
Msi2	ENSMUST00000107909.2	musashi RNA-binding protein 2 	510	2	0	1	1	2	mmu-miR-338-5p	-0.02	-0.05	N/A
Dennd5b	ENSMUST00000111557.2	DENN/MADD domain containing 5B 	493	2	0	0	2	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Dyrk1b	ENSMUST00000085901.7	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b 	235	3	0	1	2	2	mmu-miR-338-5p	-0.02	-0.04	N/A
Abhd16b	ENSMUST00000069649.8	abhydrolase domain containing 16B 	31	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Trim61	ENSMUST00000124790.2	tripartite motif-containing 61 	161	2	0	2	0	1	mmu-miR-338-5p	-0.02	-0.37	N/A
Gm7030	ENSMUST00000046131.10	predicted gene 7030 	44	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.04	N/A
4930578C19Rik	ENSMUST00000044188.4	RIKEN cDNA 4930578C19 gene 	42	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Sema5a	ENSMUST00000067458.6	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A 	202	1	0	1	0	2	mmu-miR-338-5p	-0.02	-0.02	N/A
Ireb2	ENSMUST00000034843.7	iron responsive element binding protein 2 	1630	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Mtdh	ENSMUST00000022865.10	metadherin 	5231	2	0	1	1	1	mmu-miR-338-5p	-0.02	-0.03	N/A
Foxa3	ENSMUST00000036018.5	forkhead box A3 	117	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Ubxn7	ENSMUST00000115151.3	UBX domain protein 7 	356	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Crispld2	ENSMUST00000132583.2	cysteine-rich secretory protein LCCL domain containing 2 	2556	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Chrna4	ENSMUST00000067120.8	cholinergic receptor, nicotinic, alpha polypeptide 4 	24	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Nfat5	ENSMUST00000169453.2	nuclear factor of activated T cells 5 	1024	1	0	1	0	4	mmu-miR-338-5p	-0.02	-0.02	N/A
Rdh1	ENSMUST00000073639.5	retinol dehydrogenase 1 (all trans) 	6	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Srcin1	ENSMUST00000107596.3	SRC kinase signaling inhibitor 1 	95	3	1	2	0	0	mmu-miR-338-5p	-0.02	-0.07	N/A
Aff4	ENSMUST00000060945.6	AF4/FMR2 family, member 4 	466	2	1	0	1	2	mmu-miR-338-5p	-0.02	-0.04	N/A
Slc2a2	ENSMUST00000029240.8	solute carrier family 2 (facilitated glucose transporter), member 2 	1383	2	1	0	1	5	mmu-miR-338-5p	-0.02	-0.26	N/A
Asrgl1	ENSMUST00000049948.5	asparaginase like 1 	588	2	0	2	0	0	mmu-miR-338-5p	-0.02	-0.59	N/A
Zfp318	ENSMUST00000113481.2	zinc finger protein 318 	336	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Peg3	ENSMUST00000051209.5	paternally expressed 3 	44	1	0	1	0	3	mmu-miR-338-5p	-0.02	-0.02	N/A
Ppp6r2	ENSMUST00000088788.3	protein phosphatase 6, regulatory subunit 2 	463	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Mettl4	ENSMUST00000171284.1	methyltransferase like 4 	455	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Sec63	ENSMUST00000019937.4	SEC63-like (S. cerevisiae) 	2009	2	2	0	0	1	mmu-miR-338-5p	-0.02	-0.06	N/A
Atrn	ENSMUST00000028781.8	attractin 	640	2	0	0	2	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Msl1	ENSMUST00000107485.2	male-specific lethal 1 homolog (Drosophila) 	1092	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Lancl3	ENSMUST00000069763.2	LanC lantibiotic synthetase component C-like 3 (bacterial) 	48	1	0	1	0	3	mmu-miR-338-5p	-0.02	-0.02	N/A
Uap1	ENSMUST00000111350.4	UDP-N-acetylglucosamine pyrophosphorylase 1 	651	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.09	N/A
Sh2d1b2	ENSMUST00000179976.1	SH2 domain protein 1B2 	38	4	1	3	0	1	mmu-miR-338-5p	-0.02	-0.21	N/A
Asxl2	ENSMUST00000111215.4	additional sex combs like 2 (Drosophila) 	535	2	0	2	0	4	mmu-miR-338-5p	-0.02	-0.06	N/A
Ms4a6b	ENSMUST00000163078.2	membrane-spanning 4-domains, subfamily A, member 6B 	160	3	0	2	1	2	mmu-miR-338-5p	-0.02	-0.18	N/A
Rapgef4	ENSMUST00000090826.6	Rap guanine nucleotide exchange factor (GEF) 4 	1334	1	0	1	0	2	mmu-miR-338-5p	-0.02	-0.04	N/A
Hmgn2	ENSMUST00000136327.1	high mobility group nucleosomal binding domain 2 	8	2	0	2	0	0	mmu-miR-338-5p	-0.02	-0.04	N/A
Usp37	ENSMUST00000044260.5	ubiquitin specific peptidase 37 	659	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Zfp612	ENSMUST00000058804.8	zinc finger protein 612 	161	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Enah	ENSMUST00000078719.7	enabled homolog (Drosophila) 	2081	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Htr2c	ENSMUST00000156697.2	5-hydroxytryptamine (serotonin) receptor 2C 	11	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Nemf	ENSMUST00000021368.8	nuclear export mediator factor 	302	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.04	N/A
Ccna2	ENSMUST00000029270.4	cyclin A2 	3137	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.06	N/A
Fnbp1	ENSMUST00000100208.3	formin binding protein 1 	265	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Otud6b	ENSMUST00000117268.2	OTU domain containing 6B 	103	1	0	1	0	2	mmu-miR-338-5p	-0.02	-0.02	N/A
Plg	ENSMUST00000014578.5	plasminogen 	32206	1	0	0	1	2	mmu-miR-338-5p	-0.02	-0.03	N/A
Tmc3	ENSMUST00000039317.8	transmembrane channel-like gene family 3 	25	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Tc2n	ENSMUST00000162735.2	tandem C2 domains, nuclear 	179	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Timp3	ENSMUST00000020234.8	tissue inhibitor of metalloproteinase 3 	10779	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Ccdc93	ENSMUST00000036025.10	coiled-coil domain containing 93 	497	1	1	0	0	3	mmu-miR-338-5p	-0.02	-0.03	N/A
Slc25a16	ENSMUST00000044977.4	solute carrier family 25 (mitochondrial carrier, Graves disease autoantigen), member 16 	1279	1	0	0	1	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Pik3r1	ENSMUST00000055518.7	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha) 	238	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.03	N/A
Zmpste24	ENSMUST00000058754.3	zinc metallopeptidase, STE24 	310	1	1	0	0	0	mmu-miR-338-5p	-0.02	-0.03	N/A
Sorcs1	ENSMUST00000164039.3	VPS10 domain receptor protein SORCS 1 	6	1	0	1	0	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Scyl2	ENSMUST00000174252.2	SCY1-like 2 (S. cerevisiae) 	959	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Lypd1	ENSMUST00000159417.1	Ly6/Plaur domain containing 1 	6	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Nmt2	ENSMUST00000081932.7	N-myristoyltransferase 2 	2898	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Ssh1	ENSMUST00000159592.2	slingshot homolog 1 (Drosophila) 	678	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Rab39b	ENSMUST00000033545.5	RAB39B, member RAS oncogene family 	51	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Trp53inp1	ENSMUST00000029865.3	transformation related protein 53 inducible nuclear protein 1 	2791	1	0	0	1	3	mmu-miR-338-5p	-0.02	-0.02	N/A
Klf13	ENSMUST00000063694.8	Kruppel-like factor 13 	96	1	1	0	0	1	mmu-miR-338-5p	-0.02	-0.11	N/A
Rbmx	ENSMUST00000098470.3	RNA binding motif protein, X chromosome 	830	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Zpbp	ENSMUST00000020413.3	zona pellucida binding protein 	25	1	0	0	1	1	mmu-miR-338-5p	-0.02	-0.02	N/A
Acsl4	ENSMUST00000112907.2	acyl-CoA synthetase long-chain family member 4 	524	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Sorbs1	ENSMUST00000099467.4	sorbin and SH3 domain containing 1 	56	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Slc6a20b	ENSMUST00000026273.8	solute carrier family 6 (neurotransmitter transporter), member 20B 	726	1	1	0	0	2	mmu-miR-338-5p	-0.02	-0.03	N/A
Tenm3	ENSMUST00000110346.2	teneurin transmembrane protein 3 	97	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
Penk	ENSMUST00000070375.7	preproenkephalin 	78	1	1	0	0	0	mmu-miR-338-5p	-0.02	-0.27	N/A
Papd4	ENSMUST00000048702.5	PAP associated domain containing 4 	130	2	0	1	1	0	mmu-miR-338-5p	-0.02	-0.07	N/A
Tiprl	ENSMUST00000043235.5	TIP41, TOR signalling pathway regulator-like (S. cerevisiae) 	2559	1	0	1	0	0	mmu-miR-338-5p	-0.02	-0.02	N/A
